
Detection(bounding_box=BoundingBox(origin_x=9, origin_y=7, width=632, height=474), categories=[Category(index=81, score=0.80078125, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=145, origin_y=291, width=55, height=103), categories=[Category(index=43, score=0.62109375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=42, width=55, height=93), categories=[Category(index=43, score=0.5390625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=234, origin_y=293, width=54, height=103), categories=[Category(index=43, score=0.5390625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=164, width=52, height=91), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=243, origin_y=165, width=52, height=93), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=339, origin_y=44, width=52, height=97), categories=[Category(index=43, score=0.4609375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=337, origin_y=167, width=50, height=90), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=339, origin_y=294, width=53, height=104), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=252, origin_y=47, width=44, height=90), categories=[Category(index=43, score=0.3046875, display_name='', category_name='bottle')])


Detection(bounding_box=BoundingBox(origin_x=7, origin_y=0, width=628, height=480), categories=[Category(index=81, score=0.78515625, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=145, origin_y=291, width=55, height=103), categories=[Category(index=43, score=0.6015625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=234, origin_y=292, width=55, height=104), categories=[Category(index=43, score=0.5625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=44, width=55, height=93), categories=[Category(index=43, score=0.51953125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=164, width=52, height=91), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=243, origin_y=165, width=52, height=93), categories=[Category(index=43, score=0.4609375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=340, origin_y=44, width=51, height=97), categories=[Category(index=43, score=0.4375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=338, origin_y=167, width=50, height=90), categories=[Category(index=43, score=0.359375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=338, origin_y=295, width=53, height=104), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=250, origin_y=47, width=44, height=90), categories=[Category(index=43, score=0.3046875, display_name='', category_name='bottle')])


Detection(bounding_box=BoundingBox(origin_x=5, origin_y=0, width=628, height=480), categories=[Category(index=81, score=0.78515625, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=117, origin_y=30, width=69, height=120), categories=[Category(index=43, score=0.62109375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=116, origin_y=178, width=66, height=119), categories=[Category(index=43, score=0.5625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=111, origin_y=340, width=69, height=129), categories=[Category(index=43, score=0.51953125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=224, origin_y=344, width=68, height=118), categories=[Category(index=43, score=0.51953125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=237, origin_y=184, width=65, height=115), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=352, origin_y=347, width=69, height=124), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=356, origin_y=36, width=64, height=115), categories=[Category(index=43, score=0.4375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=350, origin_y=187, width=65, height=113), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=245, origin_y=36, width=58, height=115), categories=[Category(index=43, score=0.2578125, display_name='', category_name='bottle')])


